Article ID: 2353054, Cluster: 6, Dominant Topic: 4
Article ID: 2348780, Cluster: 6, Dominant Topic: 3
Article ID: 426824, Cluster: 7, Dominant Topic: 0
Article ID: 2015530, Cluster: 7, Dominant Topic: 1
Article ID: 455511, Cluster: 7, Dominant Topic: 6
Article ID: 1896851, Cluster: 7, Dominant Topic: 0
Article ID: 502563, Cluster: 7, Dominant Topic: 1
Article ID: 517635, Cluster: 7, Dominant Topic: 3
Article ID: 615461, Cluster: 7, Dominant Topic: 4
Article ID: 623380, Cluster: 7, Dominant Topic: 3
Article ID: 623485, Cluster: 7, Dominant Topic: 0
Article ID: 726571, Cluster: 7, Dominant Topic: 4
Article ID: 755329, Cluster: 7, Dominant Topic: 7
Article ID: 757828, Cluster: 7, Dominant Topic: 3
Article ID: 807615, Cluster: 7, Dominant Topic: 3
Article ID: 920306, Cluster: 7, Dominant Topic: 7
Article ID: 1089225, Cluster: 7, Dominant Topic: 1
Article ID: 1228546, Cluster: 7, Dominant Topic: 2
Article ID: 1227715, Cluster: 7, Dominant Topic: 9
Article ID: 1240455, Cluster: 7, Dominant Topic: 9
Article ID: 1279574, Cluster: 7, Dominant Topic: 3
Article ID: 1293309, Cluster: 7, Dominant Topic: 8
Article ID: 1478141, Cluster: 7, Dominant Topic: 1
Article ID: 1479648, Cluster: 7, Dominant Topic: 1
Article ID: 1566688, Cluster: 7, Dominant Topic: 0
Article ID: 2144793, Cluster: 7, Dominant Topic: 1
Article ID: 2222860, Cluster: 8, Dominant Topic: 0
Article ID: 413742, Cluster: 8, Dominant Topic: 5
Article ID: 552242, Cluster: 8, Dominant Topic: 6
Article ID: 639144, Cluster: 8, Dominant Topic: 7
Article ID: 825466, Cluster: 8, Dominant Topic: 9
Article ID: 1578681, Cluster: 8, Dominant Topic: 4
Article ID: 1811789, Cluster: 8, Dominant Topic: 7
Article ID: 425589, Cluster: 9, Dominant Topic: 4
Article ID: 457650, Cluster: 9, Dominant Topic: 2
Article ID: 560493, Cluster: 9, Dominant Topic: 1
Article ID: 678224, Cluster: 9, Dominant Topic: 1
Article ID: 1298430, Cluster: 9, Dominant Topic: 0
Article ID: 1584099, Cluster: 9, Dominant Topic: 3
Article ID: 1936012, Cluster: 9, Dominant Topic: 3
Article ID: 1979029, Cluster: 9, Dominant Topic: 8
Article ID: 2101788, Cluster: 9, Dominant Topic: 0
Article ID: 2104843, Cluster: 9, Dominant Topic: 3
Article ID: 2150388, Cluster: 9, Dominant Topic: 5
Article ID: 2203583, Cluster: 9, Dominant Topic: 1
Article ID: 2274916, Cluster: 9, Dominant Topic: 2
