node_id,article_id,comment_id,parent_id,entity,entity_type,sum_sentiment,sum_pos,sum_neg,weight_pos,weight_neg,weight
304,[340497],[5808192565],[5807989572],Has Truth Social,['ORG'],0.3182,0.3182,0.0,1,0,1
305,"[340497, 1227715, 1787828]","[5816954856, 5823687970, 5807986723]",[0],ABC NEWS,['ORG'],0.96,1.3212000000000002,-0.3612,3,1,4
306,[340497],[5807986668],[0],M.T. Green,['PERSON'],-0.2023,0.0,-0.2023,0,1,1
307,"[340497, 1138187]","[5815121186, 5815648819, 5807986668]","[0, 5815443214]",Empty Greene,['PERSON'],-1.2163,0.0,-1.2163,0,9,9
308,"[340497, 1787828]","[5822125051, 5807986668, 5822123543]","[0, 5822112009, 5822123543]",Pete Buttigieg,['PERSON'],-0.2023,0.0,-0.2023,0,1,1
309,"[1679152, 340497, 1138187, 1792524]","[5815121186, 5808178694, 5821519974, 5820289096, 5814842353, 5815648819]","[0, 5821505691, 5808023516, 5815443214]",Boobert,['PERSON'],-1.2163,0.0,-1.2163,0,9,9
310,[340497],[5808178694],[5808023516],Gomhert,['PERSON'],-0.2023,0.0,-0.2023,0,1,1
311,[340497],[5807986313],[0],"Trump - ""YOU ARE FIRED",['ORG'],-0.347,0.0,-0.347,0,1,1
312,[340497],[5807986313],[0],DUMP,['ORG'],0.3313,0.3313,0.0,1,0,1
313,"[1696099, 1281862, 512396, 340497, 1497495]","[5811660482, 5807986313, 5820367723, 5820936270, 5818481491]","[0, 5817810281]",DINOS,['ORG'],6.5795,6.579500000000001,0.0,10,0,10
314,"[1696099, 1281862, 512396, 340497, 1497495]","[5811660482, 5811428040, 5807986313, 5817462765, 5820936270, 5818481491]","[0, 5817460391]",RINOS,['ORG'],4.4775,4.477500000000001,0.0,9,0,9
315,[340497],[5808526040],[5807986313],Sophie Rose,['ORG'],0.3382,0.3382,0.0,1,0,1
316,"[2028224, 1497161, 1907918, 340497, 457650, 1497495]","[5818622405, 5818348617, 5822935758, 5808526040, 5818655161, 5827837308, 5811594621]","[0, 5811480962, 5818633351, 5807986313, 5818582476, 5827817656]",Mitt,['PERSON'],1.5197,4.9613000000000005,-3.4416,10,6,16
317,[340497],[5807989340],[5807986313],@sophie11rose,['PERSON'],0.3869,0.3869,0.0,1,0,1
318,[340497],[5807989340],[5807986313],this Truth Social,['ORG'],0.3869,0.3869,0.0,1,0,1
319,[340497],[5808001660],[5807985980],the Electoral College,['ORG'],0.0,0.0,0.0,0,0,0
320,"[541160, 340497, 419614]","[5809261200, 5813369426, 5807990197]","[0, 5807985980, 5809256911]",Teflon Don,['PERSON'],0.24019999999999997,0.5464,-0.3062,2,2,4
321,"[1281862, 1497161, 1635467, 1963245, 340497, 1227730, 419795, 623380, 1787828, 1918680, 821274, 1138141, 419614]","[5809327237, 5823869992, 5816841932, 5818582476, 5817398879, 5819998702, 5816379504, 5817428880, 5809871742, 5823442622, 5824173646, 5823447958, 5808037208, 5813115929, 5815901245, 5813113694, 5814468031]","[0, 5817427972, 5816357672, 5813113129, 5814325100, 5823442622, 5809326362, 5813113694, 5807994687]",Liz Cheney,['PERSON'],-1.6928999999999998,4.007,-5.6998999999999995,7,14,21
322,"[1497161, 340497, 1497495]","[5808037208, 5818587835, 5818622405, 5818448848]","[5818587120, 0, 5818582476, 5807994687]",Liz,['PERSON'],3.7142,3.7141999999999995,0.0,8,0,8
323,"[898818, 512396, 734285, 1792524, 1963245, 340497, 2069978, 419795, 623417, 2062426, 1092926]","[5824360866, 5811550616, 5821677671, 5829549833, 5814828170, 5815073260, 5831262574, 5813558063, 5829634319, 5812794034, 5824359251, 5815981397, 5808037208, 5812231484]","[0, 5824334694, 5815945672, 5830472524, 5813543254, 5810591702, 5823917690, 5807994687]",IMHO,['ORG'],-7.5472,3.3083000000000005,-10.8555,7,20,27
324,[340497],[5807978838],[0],Joe/Kamala,['PERSON'],-0.5423,0.0,-0.5423,0,1,1
