tweet_id,timestamp
848839_8,2022-04-02 10:23:44+00:00
848839_9,2022-04-02 15:07:21+00:00
848839_10,2022-04-02 15:25:02+00:00
848839_11,2022-04-02 15:40:29+00:00
848839_12,2022-04-02 15:58:10+00:00
848839_13,2022-04-02 18:00:47+00:00
848839_14,2022-04-02 19:25:56+00:00
848839_15,2022-04-02 20:39:07+00:00
848839_16,2022-04-02 21:40:01+00:00
848839_17,2022-04-03 02:27:52+00:00
848839_18,2022-04-03 04:36:05+00:00
848839_19,2022-04-03 06:50:01+00:00
848839_20,2022-04-03 14:00:49+00:00
848839_21,2022-04-03 14:40:01+00:00
848839_22,2022-04-02 14:47:40+00:00
848839_22_477263399,2022-04-04T02:10:43+0000
848839_23,2022-04-03 00:40:02+00:00
848839_24,2022-04-02 18:35:01+00:00
848839_25,2022-04-02 10:04:22+00:00
848839_25_1506380855303933954,2022-04-02T10:05:02+0000
848839_25_3389804685,2022-04-02T10:05:52+0000
848839_25_314399402,2022-04-02T10:06:02+0000
848839_25_1467810755991023621,2022-04-02T10:06:20+0000
848839_25_1467810755991023621_1133739295724974086,2022-04-02T10:07:59+0000
848839_25_1014017037792784386,2022-04-02T10:06:48+0000
848839_25_1133739295724974086,2022-04-02T10:06:58+0000
848839_25_431825944,2022-04-02T10:11:22+0000
848839_25_444502392,2022-04-02T10:11:34+0000
848839_25_444502392_592470324,2022-04-02T10:39:59+0000
848839_25_431825944,2022-04-02T10:11:40+0000
848839_25_311360360,2022-04-02T10:12:12+0000
848839_25_311360360_1401906676865904645,2022-04-02T10:38:10+0000
848839_25_311360360_1088133135823523842,2022-04-02T11:04:29+0000
848839_25_311360360_967883757993824256,2022-04-02T11:46:08+0000
848839_25_311360360_1471168030478503944,2022-04-02T12:35:52+0000
848839_25_431825944,2022-04-02T10:13:14+0000
848839_25_1507129076988977160,2022-04-02T10:17:23+0000
848839_25_26657043,2022-04-02T10:17:49+0000
848839_25_1064718152,2022-04-02T10:17:58+0000
848839_25_792384363476447232,2022-04-02T10:18:19+0000
848839_25_792384363476447232_592470324,2022-04-02T10:35:02+0000
848839_25_1248297421467267084,2022-04-02T10:21:30+0000
848839_25_1414970861598171159,2022-04-02T10:21:31+0000
848839_25_819213526472523777,2022-04-02T10:28:04+0000
848839_25_986635082361323520,2022-04-02T10:30:25+0000
848839_25_986635082361323520_986635082361323520,2022-04-02T10:35:03+0000
848839_25_986635082361323520_592470324,2022-04-02T10:37:50+0000
848839_25_1368799567190237188,2022-04-02T10:33:26+0000
848839_25_1368799567190237188_1088133135823523842,2022-04-02T11:01:59+0000
848839_25_1509466293203873797,2022-04-02T10:34:47+0000
848839_25_1301612920070197264,2022-04-02T10:35:51+0000
848839_25_1301612920070197264_1471168030478503944,2022-04-02T12:36:33+0000
848839_25_1093534284097286144,2022-04-02T10:36:09+0000
848839_25_110663490,2022-04-02T10:38:09+0000
848839_25_1401906676865904645,2022-04-02T10:39:08+0000
848839_25_562333253,2022-04-02T10:39:26+0000
